3,1,[ 904.28151382  353.52711435 1186.76687925 1031.54311253]
3,2,[ 179.02937773  494.10222323  478.00261863 1080.        ]
4,1,[ 912.88615298  346.57112932 1193.98981406 1022.9964016 ]
4,2,[ 186.52237062  482.99046824  488.60701513 1076.19706101]
5,1,[ 926.82994839  340.20839566 1202.50609639 1005.6188999 ]
5,2,[ 199.67396987  478.75506233  494.89274517 1058.86493237]
6,1,[ 944.72493758  335.5170448  1209.62975398  977.69775441]
6,2,[ 220.26418741  478.33785995  512.76209835 1048.71326176]
7,1,[ 958.11886414  329.96149051 1215.49098254  956.45341707]
7,2,[ 244.16967692  476.29967046  536.0108041  1039.1637612 ]
8,1,[ 969.42690027  321.98599379 1222.00995743  940.61648696]
8,2,[263.13118027 472.97166312 525.67549811 971.31828386]
9,1,[ 986.28576553  318.05751186 1232.17560184  923.21646433]
9,2,[283.9596675  470.61210879 565.98777594 992.9175799 ]
10,1,[ 996.38521461  314.18275217 1239.21337823  914.25343836]
10,2,[ 300.52796985  472.57936175  603.52914526 1021.47172146]
11,1,[1000.8546651   309.61135596 1242.15538715  908.93196143]
11,2,[320.62608321 473.40396534 616.98453785 991.00684794]
12,1,[1004.77793977  306.81718371 1244.9366275   906.88892141]
12,2,[336.11182791 472.53179869 639.54592543 987.74382772]
13,1,[1006.54205817  306.00484822 1245.63895565  906.64946032]
13,2,[337.49737873 471.60358732 649.24606333 987.51409943]
14,1,[1006.33972643  301.20408364 1246.14527627  909.69406018]
14,2,[343.75805854 468.64148763 665.9462979  993.08854546]
15,1,[1008.36995287  298.25266623 1247.75299928  911.15642333]
15,2,[353.61804774 466.94089751 676.82290002 984.04819985]
16,1,[1010.26618796  295.32676837 1250.08030319  913.35020417]
16,2,[375.3388782  463.7048167  698.3781839  976.17933115]
17,1,[1010.41749601  293.72482119 1250.45079097  915.09270775]
17,2,[392.27472276 463.91798432 707.70612087 965.45152217]
18,1,[1011.36928905  291.2927253  1251.96069691  913.32697255]
18,2,[402.35316211 453.99574454 721.51890144 970.4633964 ]
19,1,[1014.79917964  289.86114491 1253.74452057  903.59361879]
19,2,[408.91740547 456.37528794 728.230462   978.35910165]
20,1,[1018.51940621  287.48155629 1257.62741072  895.46147209]
20,2,[438.58342746 458.70944803 754.59706072 978.9199723 ]
21,1,[1028.98182836  279.40519549 1265.66719159  880.65331028]
21,2,[469.92128868 454.38100744 783.12822234 975.30191204]
22,1,[1034.94281166  271.85771148 1272.9618307   871.3502595 ]
22,2,[494.43510763 449.50962901 805.74019086 974.7182885 ]
23,1,[1047.28407256  267.86429828 1277.84643593  844.20084308]
23,2,[520.11683206 444.45162907 829.53997577 972.62751007]
24,1,[1059.77834647  263.88043093 1283.49910136  818.79881172]
24,2,[543.74267253 439.32782065 851.64943403 969.96408378]
25,1,[1075.20690394  261.93048493 1291.1990662   797.03578498]
25,2,[561.74586671 432.21406757 870.65864435 969.71732057]
26,1,[1080.42886421  261.40419762 1293.87462707  789.62517184]
26,2,[569.17545363 429.62737626 876.57358568 969.71542112]
27,1,[1084.25791278  260.67600455 1295.81355434  784.0202405 ]
27,2,[576.17507797 420.22102806 886.36431425 971.78102444]
28,1,[1088.57870738  254.479152   1303.23476138  786.48046558]
28,2,[590.31013625 407.62577409 906.89034876 971.97362588]
29,1,[1093.87971984  250.31881754 1309.85924051  787.71004064]
29,2,[605.46725062 400.33805977 930.57115145 972.75588595]
30,1,[1096.77192299  245.57658861 1315.64120448  791.84597155]
30,2,[628.43599803 393.7978063  963.69867261 971.15806164]
31,1,[1098.82940863  239.96456932 1322.37717542  796.97018136]
31,2,[637.95488917 385.59624031 978.37937127 963.40936548]
32,1,[1103.66939084  234.69093878 1329.01556635  797.15390624]
32,2,[638.71135346 372.8249821  980.26719234 949.35319215]
33,1,[1104.44607229  235.46606487 1331.53327465  796.76710227]
33,2,[ 704.4727114   373.42597641 1054.12949411  926.99641486]
34,1,[1112.53979927  245.16652899 1335.47429483  792.84716005]
34,2,[ 723.37283585  366.62827006 1079.77613745  909.90555102]
35,1,[1118.99466152  245.67321205 1341.78523786  792.22082802]
35,2,[ 733.94510727  360.98563762 1094.09916394  893.12677645]
36,1,[1120.21615986  241.28579141 1344.27664483  788.80776161]
36,2,[ 740.90396882  353.09776093 1106.6858709   879.12822346]
37,1,[1123.5219117   241.03628538 1344.62800576  781.04773324]
37,2,[ 748.64692408  345.05163678 1116.65188039  862.88652429]
38,1,[1124.60768065  241.03409651 1344.49913818  778.28155592]
38,2,[ 750.53694447  342.30684462 1123.7708329   857.19904555]
39,1,[1121.59807664  230.46730685 1343.54373002  778.73570324]
39,2,[ 731.78508105  327.49736502 1112.46714157  855.44415005]
40,1,[1122.58385617  223.3098325  1341.51147205  764.54546233]
40,2,[ 748.97441784  320.88103436 1089.89664209  807.59798595]
41,1,[1126.92925143  220.03409235 1341.09511535  745.33218869]
41,2,[ 729.78001864  305.11886931 1087.28598092  830.59431862]
42,1,[1134.61104294  218.95151292 1346.01248348  728.27439946]
42,2,[ 728.40658718  297.07191163 1090.46716877  843.56578704]
43,1,[1138.80573254  216.66742242 1350.93542106  718.21214191]
43,2,[ 740.46228705  290.99878234 1106.40194914  852.84040913]
44,1,[1143.19740103  217.95788339 1354.3331145   705.41388708]
44,2,[ 747.0935867   283.74335034 1114.62092455  860.55225879]
45,1,[1146.55022632  217.21359933 1362.33415241  701.71666881]
45,2,[ 767.58293706  283.15189511 1127.1844887   859.78029442]
46,1,[1153.4178918   217.02483852 1373.44656054  695.96426251]
46,2,[ 777.02196743  281.28849106 1129.26438483  862.87721384]
47,1,[1164.03742814  219.73178461 1382.59470137  678.04031356]
47,2,[ 780.71465148  280.15910952 1123.48845659  866.75989722]
48,1,[1169.26430572  220.84003331 1391.74419233  670.41546459]
48,2,[ 784.53091731  283.21843591 1113.70827923  865.70862871]
49,1,[1168.84768319  220.60817422 1398.9816644   672.74241977]
49,2,[ 779.3543918   284.63682764 1106.7713177   887.71413261]
50,1,[1165.85325459  219.88727571 1402.7646949   674.52596641]
50,2,[ 781.50118091  284.63256787 1101.09302757  895.98706399]
51,1,[1162.31167667  220.99125216 1406.21745158  680.79930229]
51,2,[ 783.68467546  291.30838942 1088.66886631  899.16737668]
52,1,[1161.87410667  220.76970407 1409.62419805  680.69067488]
52,2,[ 786.33516683  296.67816489 1077.7424432   900.98359036]
53,1,[1160.16788781  217.39007859 1412.12658869  683.49742204]
53,2,[ 785.18484186  296.85404108 1068.90414717  908.83993313]
54,1,[1155.79683367  212.84988083 1409.28769644  684.01668382]
54,2,[ 785.23778621  307.44689621 1054.45506033  907.81961228]
55,1,[1151.70931373  205.23892007 1404.48571981  680.37755457]
55,2,[ 821.03392391  318.88978564 1087.69242835  907.97475475]
56,1,[1151.54088988  204.3885915  1398.476307    673.83901698]
56,2,[ 830.38619001  329.18944305 1094.89673094  906.62144107]
57,1,[1153.70804095  205.48062151 1392.48160056  667.50328977]
57,2,[ 821.72759885  334.33981966 1086.03374993  906.04084767]
58,1,[1161.18719963  214.62393659 1388.79812144  661.93757567]
58,2,[ 827.82304888  335.51687377 1099.70724116  907.7679528 ]
59,1,[1163.78711846  230.87920945 1379.47210981  660.02655155]
59,2,[ 827.7168019   337.20364294 1106.92127805  906.37540999]
60,1,[1165.49624713  252.46561568 1371.80735723  668.98791007]
60,2,[ 822.6178959   339.08238499 1110.36827546  905.79906191]
61,1,[1170.24858135  292.74928    1357.40548462  673.05187624]
61,2,[ 812.51205796  338.37808624 1109.57490034  904.88041   ]
62,1,[1174.52837991  329.67082339 1345.36958793  674.69476893]
62,2,[ 803.67701176  340.02968296 1110.09458341  905.83303245]
63,1,[1175.65101173  342.01485722 1341.61432773  675.34113067]
63,2,[ 797.68479075  340.58398507 1112.77604716  906.16657855]
64,1,[1179.47776384  363.88537383 1334.8795235   671.3978934 ]
64,2,[ 786.46858637  342.71553953 1108.70473891  907.59195881]
65,1,[1181.60033289  381.46878302 1329.73176302  670.05484834]
65,2,[ 774.08138008  346.10625054 1102.65971589  911.41612709]
66,1,[1182.74115206  397.38878481 1322.70139484  663.97151228]
66,2,[ 757.01707379  350.62706159 1095.5748672   923.4141972 ]
67,1,[1181.40931121  406.98598639 1319.30340792  662.70574956]
67,2,[ 737.3406128   360.15898048 1081.89974352  932.48069961]
68,1,[1185.60319894  422.36240867 1312.25081287  649.58463047]
68,2,[ 711.72616486  369.6406845  1058.01047816  931.21238209]
69,1,[1187.73316428  432.45231613 1307.91869231  640.09279489]
69,2,[ 683.40557217  375.76442159 1055.91547999  971.86475268]
70,1,[1188.18155978  445.95513799 1310.59445366  651.22357621]
70,2,[ 666.4043493   384.42270606 1051.61791551  995.05690486]
71,1,[1185.64077223  448.44496875 1312.74961443  654.78612923]
71,2,[ 659.66404979  392.1983198  1049.29176532 1007.10691077]
72,1,[1181.392526    447.44013641 1314.84012518  658.13851475]
72,2,[ 648.76551659  398.29685808 1040.29448565 1015.34839653]
73,1,[1175.73617252  445.3539973  1317.06124029  662.07099312]
73,2,[ 640.18269777  402.41649791 1031.31783602 1019.48065875]
74,1,[1172.481341    444.29800692 1319.14020001  663.48841537]
74,2,[ 637.33587599  403.80438736 1028.01797784 1020.72735208]
75,1,[1169.4518833   444.26694522 1321.14334348  663.99590862]
75,2,[ 627.3150193   406.12502306 1019.83294274 1025.49252295]
76,1,[1164.23954632  443.9943612  1322.69589527  666.84688109]
76,2,[ 614.60710842  409.47221572 1009.07346051 1028.99822512]
77,1,[1161.5266222   446.37008824 1324.12422467  669.20684952]
77,2,[ 595.11326985  412.55705587  985.34186417 1028.08173778]
78,1,[1160.58879954  447.05324539 1327.32851812  671.38968912]
78,2,[ 557.86992435  414.2236915   936.83386647 1025.47990333]
