"=""00:00:02"""
"=""00:00:04"""
"=""00:00:09"""
"=""00:00:11"""
"=""00:00:17"""
"=""00:00:26"""
"=""00:00:40"""
"=""00:00:44"""
"=""00:00:51"""
"=""00:00:55"""
"=""00:00:59"""
"=""00:01:17"""
"=""00:01:21"""
"=""00:01:29"""
"=""00:01:32"""
"=""00:01:59"""
"=""00:02:06"""
"=""00:02:09"""
"=""00:02:12"""
"=""00:02:23"""
